State_code,State, FIPS,crowding_count,crowding_percent,education_bachelors_count,education_bachelors_percent,median_family_income_dollars,uninsured_count,uninsured_percent,below_150_poverty_count,below_150_poverty_percent,unemployed_count,unemployed_percent
USA,United States,0,3932606,3.3,64767787,30.3,67871,19269545,5.9,75977113,24.5,11805773,7.4
AL,Alabama,1,31333,1.7,783076,24,56828,427972,10.8,1381781,29.3,184479,8.3
AK,Alaska,2,16310,6.5,135525,28.8,87365,100787,15.5,127832,17.8,30139,7.8
AZ,Arizona,4,109307,4.5,1241425,28,61001,669819,11.9,1846030,28.1,249972,8
AR,Arkansas,5,29803,2.6,424446,21.5,53123,228342,9.4,887876,30.8,93190,6.9
CA,California,6,1050303,8.2,8176487,32,72952,2787305,8.4,9797309,25.8,1683726,8.7
CO,Colorado,8,53611,2.6,1389730,38.7,77130,401879,8.6,1064125,20.3,171695,6
CT,Connecticut,9,24789,1.8,938319,38,91274,168258,5.8,579803,16.7,155005,8
DE,Delaware,10,5943,1.7,195321,30.5,73831,51494,6.7,180128,19.8,33669,7.1
DC,District of Columbia,11,9930,3.6,256316,55.4,89023,23274,4.1,160038,25.6,33326,8.7
FL,Florida,12,215436,2.9,3929796,27.9,59139,2478194,15.4,5239608,26.9,802016,8.4
GA,Georgia,13,84389,2.3,1938090,29.4,61328,1295994,14.9,2760355,28.1,419113,8.5
HI,Hawaii,15,40704,9,305201,31.4,83451,48641,4.2,238250,17.3,38768,5.5
ID,Idaho,16,16410,2.8,274984,26.2,59652,165164,11.8,421982,26.3,48385,6.2
IL,Illinois,17,125595,2.6,2834869,32.9,73714,801267,7.5,2827366,22.5,545635,8.2
IN,Indiana,18,44956,1.8,1068062,24.6,62748,518435,9.5,1566924,24.5,228929,6.9
IA,Iowa,19,19811,1.6,559431,27.2,69419,126746,5,624878,20.8,75289,4.5
KS,Kansas,20,22647,2,593801,31.6,68231,239482,9.9,627560,22.3,79000,5.3
KY,Kentucky,21,31907,1.9,674165,22.7,56522,218900,6,1253512,29.3,156509,7.6
LA,Louisiana,22,41500,2.4,703875,23,58068,460244,11.8,1366790,30.3,168326,7.7
ME,Maine,23,7992,1.5,280570,29.3,64294,105736,10.1,297052,22.9,41620,6
MD,Maryland,24,46510,2.1,1556711,38.4,92049,353248,7,936787,16.1,216086,6.7
MA,Massachusetts,25,48103,1.9,1916806,41.2,90180,165417,3,1161245,17.8,252347,6.8
MI,Michigan,26,63229,1.6,1831798,27.4,63958,519190,6.4,2453029,25.3,412934,8.5
MN,Minnesota,27,45489,2.1,1253937,34.2,79595,220535,4.8,968970,18.2,145853,4.8
MS,Mississippi,28,30810,2.8,409891,21,50592,342668,14,992643,34.3,128840,9.6
MO,Missouri,29,38588,1.6,1125665,27.6,62285,526350,10.6,1457625,24.8,200143,6.6
MT,Montana,30,8621,2.1,209072,29.9,63214,84231,10,249624,25,29382,5.6
NE,Nebraska,31,15195,2,366783,30,69207,153934,9.7,387110,21.2,42544,4.2
NV,Nevada,32,43943,4.3,445561,23.2,62528,323527,13.1,710819,25.4,133525,9.3
NH,New Hampshire,33,7186,1.4,330676,35.5,83709,78021,7.2,189094,14.7,37727,5.1
NJ,New Jersey,34,100064,3.1,2290041,37.5,90757,681347,9.2,1539764,17.6,368870,7.9
NM,New Mexico,35,27511,3.6,366238,26.7,55900,189965,11.2,662843,32.5,81175,8.5
NY,New York,36,368693,5.1,4691446,34.7,74036,1151995,7.1,4617228,24.1,759224,7.5
NC,North Carolina,37,92217,2.4,1940435,29,59667,1023107,12.2,2675626,27.6,404584,8.3
ND,North Dakota,38,5881,1.9,134554,28.2,77277,47683,7.6,130075,18.3,11250,2.8
OH,Ohio,39,60501,1.3,2092875,26.7,64433,632536,6.7,2733035,24.3,423956,7.2
OK,Oklahoma,40,40671,2.8,620115,24.5,59742,517631,16,1033263,27.5,110120,6
OR,Oregon,41,48131,3.1,866373,31.4,65479,248573,7.4,993581,25.4,160797,8.1
PA,Pennsylvania,42,67449,1.4,2595950,29.3,69960,691654,6.8,2669742,21.6,468440,7.2
RI,Puerto Rico,72,45685,3.7,590850,24.6,23417,,,2153490,61.6,226880,17.7
SC,Rhode Island,44,6716,1.6,235228,32.5,75655,43275,5.1,220938,21.8,43600,7.7
SD,South Carolina,45,33096,1.8,865057,26.5,58158,484799,12.1,1302534,27.8,194454,8.4
TN,South Dakota,46,7603,2.3,152785,27.5,66825,73089,10.4,187634,22.8,18636,4.1
TX,Tennessee,47,51767,2.1,1122416,25.4,57747,581927,10.6,1779282,27.9,238372,7.5
UT,Texas,48,453135,4.9,4800677,28.1,64585,4444791,18.6,7191237,27.3,848131,6.4
VT,Utah,49,32853,3.6,540721,31.7,71058,259941,9.7,597906,20.6,73114,5.1
VA,Vermont,50,4672,1.8,158225,36.2,71465,23063,4.7,119557,19.9,17087,5
WA,Virginia,51,61431,2,2073641,36.9,80068,692343,9.9,1517155,18.8,255340,5.9
WV,Washington,53,84563,3.1,1612159,33.6,76507,420125,6.9,1450436,20.9,244692,6.8
WI,West Virginia,54,10466,1.4,253706,19.6,54409,94163,6.5,514746,28.7,61215,7.5
WY,Wisconsin,55,40231,1.7,1104082,28.4,69925,297297,6.3,1173276,20.9,169426,5.5
PR,Wyoming,56,4605,2,100674,26,73654,65310,13.4,111110,19.5,15118,4.9
